,video_id,country_trending,day_trending
0,XegHMc35Bo8,MX,2021-04-25
1,xjqYxlHTQW8,MX,2021-04-25
2,CHUS7sqA2Mo,MX,2021-04-25
3,3-BRfzrUk1E,MX,2021-04-25
4,5abzFrbsC8w,MX,2021-04-25
5,PeLIgGrEOnA,MX,2021-04-25
6,JmhLmVfw_UI,MX,2021-04-25
7,wE9iVzATmk4,MX,2021-04-25
8,NsQxj7nnzXs,MX,2021-04-25
9,TQh6sqLHh3Y,MX,2021-04-25
10,vn7mcwONBKk,MX,2021-04-25
11,valD7apHdvM,MX,2021-04-25
12,LIIDh-qI9oI,MX,2021-04-25
13,V5Jtrp1iXSg,MX,2021-04-25
14,KstrosriGmo,MX,2021-04-25
15,hfhpwu7YBTc,MX,2021-04-25
16,UfdwukHO57c,MX,2021-04-25
17,0atn5vzTZAg,MX,2021-04-25
18,URfPKAQ3Q7w,MX,2021-04-25
19,crnZT7DPqyo,MX,2021-04-25
20,ff3S7P23sA8,MX,2021-04-25
21,1jc57fUxJhA,MX,2021-04-25
22,fi1gT23EtOo,MX,2021-04-25
23,iyuUaBMIoSY,MX,2021-04-25
24,yLBxsPDHmDo,MX,2021-04-25
25,cSI9gtLxguQ,MX,2021-04-25
26,Ifgd1977c4s,MX,2021-04-25
27,f3bxRsveaWI,MX,2021-04-25
28,FgQbXQnKHO0,MX,2021-04-25
29,NOXnQxIFagY,MX,2021-04-25
30,FRjFs0695NY,MX,2021-04-25
31,cnhqEso6xcA,MX,2021-04-25
32,6IkNNU3joAs,MX,2021-04-25
33,5AL5V0lg9gw,MX,2021-04-25
34,IAQ1aYZfSyI,MX,2021-04-25
35,VdBUlTD08C8,MX,2021-04-25
36,xpr-QdpUVYg,MX,2021-04-25
37,GzAEaCjMGn4,MX,2021-04-25
38,PduN99LtoPk,MX,2021-04-25
39,FC8dVyE0E0E,MX,2021-04-25
40,o-kSMcJmF4I,MX,2021-04-25
41,ofJBZ6ZQlq0,MX,2021-04-25
42,qXPRNDc_Dnw,MX,2021-04-25
43,ALlLSxzAzS0,MX,2021-04-25
44,LwATJ9sezfk,MX,2021-04-25
45,HrGwgANK20A,MX,2021-04-25
46,hAxqygRdM4g,MX,2021-04-25
47,CYo2hleHZ20,MX,2021-04-25
48,LzcjaM9-iL8,MX,2021-04-25
49,q1lCEB683O8,MX,2021-04-25
50,f7PMJ8dc4mI,MX,2021-04-25
51,oshvcDjEKZc,MX,2021-04-25
52,En6OxiLJSZc,MX,2021-04-25
53,F5EEAO_NLTc,MX,2021-04-25
54,dOcxrYCI0Wc,MX,2021-04-25
55,Z7qf5xZCTY4,MX,2021-04-25
56,-jlYtfces-Q,MX,2021-04-25
57,TCGKC2Wa3Iw,MX,2021-04-25
58,XbyxoH0N9L0,MX,2021-04-25
59,nFC_Odf1bB4,MX,2021-04-25
60,AMOl84TuysI,MX,2021-04-25
61,S8nlMJfE6pc,MX,2021-04-25
62,VQCCPtan6gc,MX,2021-04-25
63,TSBiJ8zlPUk,MX,2021-04-25
64,WQQ5n3vG-L0,MX,2021-04-25
65,KpMfrHIlrG4,MX,2021-04-25
66,lm0V6U1-2JY,MX,2021-04-25
67,y5KjHgWFX1U,MX,2021-04-25
68,JBAsIYDrjZQ,MX,2021-04-25
69,GFQj1EAJu2Y,MX,2021-04-25
70,pFicAT0TWAY,MX,2021-04-25
71,w_I3BpXgc9E,MX,2021-04-25
72,_wE3hDN06Qg,MX,2021-04-25
73,EdS-OjNKnaU,MX,2021-04-25
74,CMyu2H56DBk,MX,2021-04-25
75,ubhFDonmPg0,MX,2021-04-25
76,kB5jU4WYLZU,MX,2021-04-25
77,3NqMZuylVbg,MX,2021-04-25
78,YnKJ7iBNypw,MX,2021-04-25
79,DIzf2T0vE_c,MX,2021-04-25
80,Bo36ampn0ns,MX,2021-04-25
81,bV11GMQe2VE,MX,2021-04-25
82,RlwhMCArTm8,MX,2021-04-25
83,g7UBP7B_n2U,MX,2021-04-25
84,OTyibPbxafs,MX,2021-04-25
85,_4-ALELhvh8,MX,2021-04-25
86,8He_ScAv9II,MX,2021-04-25
87,IXkVRFfujTg,MX,2021-04-25
88,v0nlO0j1WMc,MX,2021-04-25
89,lt6H8l2Pdog,MX,2021-04-25
90,vlBIVUeFbtQ,MX,2021-04-25
91,wVCDfKsflvI,MX,2021-04-25
92,yhze8zU3Wik,MX,2021-04-25
93,jWRMXiHhDjc,MX,2021-04-25
94,bhMT4YAGMBs,MX,2021-04-25
95,yTzCpCbIPdo,MX,2021-04-25
96,IGCNp2AgYHw,MX,2021-04-25
97,esbVYGRbY60,MX,2021-04-25
98,NYwHQFl_viU,MX,2021-04-25
99,y43rmAQ-l_M,MX,2021-04-25
100,iaEU9DaSjio,MX,2021-04-25
101,SpzERUcilx4,MX,2021-04-25
102,bKCwfuxK3Bg,MX,2021-04-25
103,WzI_MoVPFr8,MX,2021-04-25
104,10TgWq84srk,MX,2021-04-25
105,pwhOo6ul-mc,MX,2021-04-25
106,r2D17K-n_jo,MX,2021-04-25
107,Qvv3NZftN1Q,MX,2021-04-25
108,BSS8Y-0hOlY,MX,2021-04-25
109,P4JsiA0FEoQ,MX,2021-04-25
110,CEkYUfiwWvU,MX,2021-04-25
111,IIMXyD2RWYM,MX,2021-04-25
112,0UgoLFvryBY,MX,2021-04-25
113,FfMM5rOIDzM,MX,2021-04-25
114,8K2vBAJvBws,MX,2021-04-25
115,ExN85uXrRmo,MX,2021-04-25
116,BR6Rxj65k3U,MX,2021-04-25
117,L1lnoM3-h-Q,MX,2021-04-25
118,aIcmaYV05tI,MX,2021-04-25
119,TWKc5QyWDTw,MX,2021-04-25
120,SgLBsBKprkM,MX,2021-04-25
121,Ag-c9_vRR9U,MX,2021-04-25
122,SW6L_lTrIFg,MX,2021-04-25
123,JdBYVNuky1M,MX,2021-04-25
124,OtD6N6stGb8,MX,2021-04-25
125,8x8ebzSu9dE,MX,2021-04-25
126,J2KVwfxTbfo,MX,2021-04-25
127,sdoTAfd2LUk,MX,2021-04-25
128,whus1c2ZUoA,MX,2021-04-25
129,xLDQMzp7jcg,MX,2021-04-25
130,zh9QnBnByI4,MX,2021-04-25
131,wVyX4wHQfEk,MX,2021-04-25
132,DhWgLtjiyio,MX,2021-04-25
133,J388eM35KoA,MX,2021-04-25
134,oPjbHwxr-NM,MX,2021-04-25
135,ANCa44O5BSI,MX,2021-04-25
136,CDDzP-tW6XQ,MX,2021-04-25
137,BD77EOU8N3o,MX,2021-04-25
138,W2uDYqatgyU,MX,2021-04-25
139,npHXqe3suRU,MX,2021-04-25
140,NguVCwDceHo,MX,2021-04-25
141,v6A1xPvyIIg,MX,2021-04-25
142,sJWmAZSIU30,MX,2021-04-25
143,Gx8pZhmFeO4,MX,2021-04-25
144,IJZaJBowMMc,MX,2021-04-25
145,FTk9VD2nPuw,MX,2021-04-25
146,YN0vl1pBAl4,MX,2021-04-25
147,Z-pblKvKnPk,MX,2021-04-25
148,9Oqf5v4D_oc,MX,2021-04-25
149,ojvT3IDmfmU,MX,2021-04-25
150,byt1mF4ntvE,MX,2021-04-25
151,K-TEhIFa8uQ,MX,2021-04-25
152,HwcCBnfhsR4,MX,2021-04-25
153,dNYQ3HsFnEM,MX,2021-04-25
154,-xDdXCVapQA,MX,2021-04-25
155,dufRDzccae4,MX,2021-04-25
156,yZxTUQnjEhY,MX,2021-04-25
157,MxbHGi5OzqU,MX,2021-04-25
158,1CyHTjqWG6U,MX,2021-04-25
159,BJ0BUJeumNc,MX,2021-04-25
160,Knmg4my_DNM,MX,2021-04-25
161,L9J1zcRV5B4,MX,2021-04-25
162,qzPKlCsrcRs,MX,2021-04-25
163,WQyZYBRfc2U,MX,2021-04-25
164,IFG2AOjF400,MX,2021-04-25
165,smHO81Tz1Co,MX,2021-04-25
166,_D7vwBEN79Q,MX,2021-04-25
167,HfGRNUOqhLk,MX,2021-04-25
168,BvJ4EknrYzw,MX,2021-04-25
169,nOeFFshalR4,MX,2021-04-25
170,IHYGzVFpavg,MX,2021-04-25
171,9WVcT5fEJew,MX,2021-04-25
172,h1y1nqsVUb4,MX,2021-04-25
173,EWjkLJhNUto,MX,2021-04-25
174,rZwUYrjr8bw,MX,2021-04-25
